Classifier,Featurelist,CV_Score,PublicAMS,PrivateAMS,time_train,time_pred,Settings,None,None,None,None,None,None,None,None,None,None,None,None
xgboost,header_x,2.58934543333,3.53963200136186,3.64611568409356,499.156784057617,38.6092600822448,threshold=0.14,steps_=1000,depth_=12,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.4321543,3.64688814117382,3.70096850659828,1272.58434510231,86.1489658355712,threshold=0.14,steps_=3000,depth_=9,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_1,2.45522136667,3.33527962220599,3.33522093499668,651.792622089386,77.48446393013,threshold=0.14,steps_=3000,depth_=9,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_6,2.45161023333,3.35930826976692,3.36969442914195,665.653434991836,78.3204979896545,threshold=0.14,steps_=3000,depth_=9,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_x,2.4203028,3.56596662781861,3.63225201359117,1023.86108112335,81.0226349830627,threshold=0.14,steps_=3000,depth_=9,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
log Reg,header_2,0.72154,1.87821551290652,1.89130119619110,1.41012120246887,0.17702889442443,threshold=0.4444,C=1.0,penalty=l1,None,None,None,None,None,None,None,None,None,None
log Reg,header_3,0.73642,1.98433499152982,1.99593663118959,8.50849103927612,0.27804398536682,threshold=0.4444,C=1.0,penalty=l1,None,None,None,None,None,None,None,None,None,None
log Reg,header_4,0.73081,1.94370118184853,1.96043403407742,4.02420616149902,0.22805380821228,threshold=0.4444,C=1.0,penalty=l1,None,None,None,None,None,None,None,None,None,None
log Reg,header_5,0.71856,1.91032636661636,1.90633053232789,2.55417299270629,0.20604205131530,threshold=0.4444,C=1.0,penalty=l1,None,None,None,None,None,None,None,None,None,None
log Reg,header_6,0.71113,1.89629260259964,1.90466578842890,2.41718196868896,0.23401522636413,threshold=0.3333,C=1.0,penalty=l1,None,None,None,None,None,None,None,None,None,None
log Reg,header_7,0.71495,1.90470853821446,1.91788124174226,4.78623199462890,0.25605583190917,threshold=0.3333,C=1.0,penalty=l1,None,None,None,None,None,None,None,None,None,None
log Reg,header_8,0.73926,2.04480142600976,2.06934119373163,4.31226301193237,0.23303985595703,threshold=0.4444,C=1.0,penalty=l1,None,None,None,None,None,None,None,None,None,None
log Reg,header_x,0.7497,2.03215013520882,2.05174659434856,43.3705010414123,0.36203002929687,threshold=0.4444,C=1.0,penalty=l1,None,None,None,None,None,None,None,None,None,None
log Reg CV,header_1,0.71096,1.90428029444330,1.91592657358990,10.3276381492614,0.21297001838684,threshold=0.3333,Cs=1,penalty=l1,scoring = 'roc_a,None,None,None,None,None,None,None,None,None
log Reg CV,header_2,0.71561,1.85962842198584,1.88151562168595,8.46448683738708,0.19601202011108,threshold=0.4444,Cs=1,penalty=l1,scoring = 'roc_a,None,None,None,None,None,None,None,None,None
log Reg CV,header_3,0.73507,1.96216755909995,1.98149424825609,33.3609240055084,0.26706004142761,threshold=0.4444,Cs=1,penalty=l1,scoring = 'roc_a,None,None,None,None,None,None,None,None,None
log Reg CV,header_4,0.72945,1.93745590199141,1.94947840781219,22.1293160915374,0.24801993370056,threshold=0.4444,Cs=1,penalty=l1,scoring = 'roc_a,None,None,None,None,None,None,None,None,None
log Reg CV,header_5,0.71724,1.91330183846870,1.92958936584002,11.8027241230010,0.21796894073486,threshold=0.4444,Cs=1,penalty=l1,scoring = 'roc_a,None,None,None,None,None,None,None,None,None
log Reg CV,header_6,0.71229,1.90373098667766,1.91234923740377,11.0826530456542,0.20999789237976,threshold=0.3333,Cs=1,penalty=l1,scoring = 'roc_a,None,None,None,None,None,None,None,None,None
log Reg CV,header_7,0.71543,1.90457830384415,1.91983498743473,19.1381359100341,0.22898101806640,threshold=0.3333,Cs=1,penalty=l1,scoring = 'roc_a,None,None,None,None,None,None,None,None,None
log Reg CV,header_8,0.71604,1.88580196451074,1.90992357927474,12.2537059783935,0.22100996971130,threshold=0.4444,Cs=1,penalty=l1,scoring = 'roc_a,None,None,None,None,None,None,None,None,None
log Reg CV,header_x,0.73904,1.93772208955123,1.95067466856019,103.190950155258,0.34402084350585,threshold=0.3333,Cs=1,penalty=l1,scoring = 'roc_a,None,None,None,None,None,None,None,None,None
log Reg CV,header_all,0.73902,1.93474826059572,1.94774527597148,122.656112194061,0.40502786636352,threshold=0.3333,Cs=1,penalty=l1,scoring = 'roc_a,None,None,None,None,None,None,None,None,None
xgboost,header_all,2.4321543,3.63578821775350,3.70057430451461,1230.97183704376,80.9197981357574,Threshold=0.135,steps_=3000,depth_=9,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.49997383333,3.35990239172263,3.44782317379438,1178.11084294319,71.3455638885498,Threshold=0.135,steps_=3000,depth_=9,eta_=0.05,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.5488568,3.15281977214683,3.29339531768882,1168.99453711509,70.6036069393158,Threshold=0.135,steps_=3000,depth_=9,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.4321543,3.65570329957010,3.70007163011800,996.122193098068,58.0173630714416,Threshold=0.135,steps_=2500,depth_=9,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.49997383333,3.36393175686358,3.45980113119952,977.476222991943,45.4090759754180,Threshold=0.135,steps_=2500,depth_=9,eta_=0.05,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.5488568,3.16426107855713,3.31697198946854,976.470158100128,46.4770989418029,Threshold=0.135,steps_=2500,depth_=9,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.4321543,3.63526824087934,3.70515123174683,1385.55363392829,104.338435173034,Threshold=0.135,steps_=3500,depth_=9,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.49997383333,3.36028754051839,3.42400880514038,1366.98707795143,94.5681519508361,Threshold=0.135,steps_=3500,depth_=9,eta_=0.05,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.5488568,3.15962584320942,3.29379156954637,1359.98686289787,95.4182150363922,Threshold=0.135,steps_=3500,depth_=9,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.4321543,3.64688814117382,3.70096850659828,1193.39539718627,81.6418399810791,threshold=0.14,steps_=3000,depth_=9,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.49997383333,3.37099170458954,3.46867396376825,1172.18064808845,70.4255950450897,threshold=0.14,steps_=3000,depth_=9,eta_=0.05,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.5488568,3.14431338115230,3.31704752341227,1169.76282596588,70.8508789539337,threshold=0.14,steps_=3000,depth_=9,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.4321543,3.64707239492356,3.71254490517768,996.964663982391,57.0312998294830,threshold=0.14,steps_=2500,depth_=9,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.49997383333,3.38564836793467,3.46011410397907,976.578184843063,46.0430071353912,threshold=0.14,steps_=2500,depth_=9,eta_=0.05,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.5488568,3.19696804890658,3.32808285549396,975.112128019332,46.0750889778137,threshold=0.14,steps_=2500,depth_=9,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.4321543,3.63992643369268,3.69244438606291,1393.79996085166,105.596342086791,threshold=0.14,steps_=3500,depth_=9,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.49997383333,3.37754842225157,3.43291337797580,1366.77110004425,95.8101930618286,threshold=0.14,steps_=3500,depth_=9,eta_=0.05,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.5488568,3.19815267521539,3.32997386354920,1369.33669304847,96.2281849384307,threshold=0.14,steps_=3500,depth_=9,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.4321543,3.64820624374640,3.71212166540708,1191.86309599876,81.9338049888610,Threshold=0.145,steps_=3000,depth_=9,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.49997383333,3.37743346485397,3.47406630537171,1180.10683012008,70.6195499897003,Threshold=0.145,steps_=3000,depth_=9,eta_=0.05,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.5488568,3.19624741830871,3.33091141565946,1168.09251403808,70.6856651306152,Threshold=0.145,steps_=3000,depth_=9,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.4321543,3.66421262680941,3.71268472156738,997.632616996765,57.4933519363403,Threshold=0.145,steps_=2500,depth_=9,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.49997383333,3.42786826627969,3.48717299537533,977.294224023819,46.123046875,Threshold=0.145,steps_=2500,depth_=9,eta_=0.05,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.5488568,3.24723521497549,3.32352822079833,975.215317010879,46.7269980907440,Threshold=0.145,steps_=2500,depth_=9,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.4321543,3.64907287002651,3.70545215536292,1383.52145409584,105.334395885467,Threshold=0.145,steps_=3500,depth_=9,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.49997383333,3.37304695369360,3.42487659930174,1366.43108177185,95.1381220817565,Threshold=0.145,steps_=3500,depth_=9,eta_=0.05,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.5488568,3.18679247646158,3.32592075731125,1361.40715694427,96.4522368907928,Threshold=0.145,steps_=3500,depth_=9,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
log Reg,header_all,0.74905,2.02949525118019,2.05037527287158,34.3080201148986,0.40102195739746,threshold=0.4444,C=1.0,penalty=l2,None,None,None,None,None,None,None,None,None,None
xgboost,header_all,2.17155726667,3.62705811319083,3.71954889778792,861.981695175170,28.4746019840240,threshold=0.14,steps_=3000,depth_=6,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.58182783333,3.57076191000342,3.61553170138923,1665.34797000885,152.277781963348,Threshold=0.14,steps_=3000,depth_=12,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.17155726667,3.53628706812481,3.63333935603753,311.994940996170,11.6026709079742,Threshold=0.14,steps_=1000,depth_=6,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.17155726667,2.93427582743577,2.96378905017656,29.5037019252777,2.69119501113891,threshold=0.14,steps_=100,depth_=6,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
gbc,header_all,0.822288,2.91632247982048,2.95310538720734,389.815470933914,2.65011405944824,threshold=0.5555,trees_=100,depth_=6,eta_=0.01,subsample_=0.9,None,None,None,None,None,None,None,None
gbc,header_all,0.839772,3.12127118708391,3.18913657226317,1203.45941686630,4.00319099426269,threshold=0.6666,trees_=100,depth_=9,eta_=0.01,subsample_=0.9,None,None,None,None,None,None,None,None
gbc,header_all,0.870048,3.23356085563658,3.42604955414675,5007.69863915443,5.73332595825195,threshold=0.6666,trees_=100,depth_=12,eta_=0.01,subsample_=0.9,None,None,None,None,None,None,None,None
xgboost,header_all,0.9675963,0.85830727686581,0.86334034674584,0.57503080368041,1.36007809638977,threshold=0.14,steps_=1,depth_=1,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,0.757277066667,0.85830727686581,0.86334034674584,0.57903385162353,1.28711199760437,threshold=0.14,steps_=1,depth_=1,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.4896725,1.07508900627844,1.09779257523369,0.62403702735900,1.35207891464233,threshold=0.14,steps_=1,depth_=2,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.01208223333,1.07508900627844,1.09779257523369,0.60499405860900,1.34312200546264,threshold=0.14,steps_=1,depth_=2,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.64637126667,1.20714985845735,1.24282092952430,0.63299703598022,1.37613892555236,threshold=0.14,steps_=1,depth_=3,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.15222536667,1.20714985845735,1.24282092952430,0.64299583435058,1.37912201881408,threshold=0.14,steps_=1,depth_=3,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.94941543333,1.64279408133708,1.66284859001665,0.67503905296325,1.44512391090393,threshold=0.14,steps_=1,depth_=4,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.58066206667,1.64279408133708,1.66284859001665,0.67199611663818,1.44814205169677,threshold=0.14,steps_=1,depth_=4,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.13937513333,2.03669653664189,2.05515326111315,0.71700000762939,1.48012709617614,threshold=0.14,steps_=1,depth_=5,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.87649333333,2.03669653664189,2.05515326111315,0.73006796836853,1.57406497001647,threshold=0.14,steps_=1,depth_=5,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,0.9675963,0.89889647684020,0.89658303728577,0.68203783035278,1.36612010002136,threshold=0.14,steps_=2,depth_=1,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,0.757277066667,0.85830727686581,0.86334034674584,0.67403888702392,1.31911897659301,threshold=0.14,steps_=2,depth_=1,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.4896725,1.20032426309386,1.23407259046843,0.73900103569030,1.47808504104614,threshold=0.14,steps_=2,depth_=2,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.01208223333,1.08767698226916,1.11544677449399,0.77006912231445,1.46209287643432,threshold=0.14,steps_=2,depth_=2,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.64637126667,1.39073075943399,1.42570980162129,0.84404802322387,1.57009100914001,threshold=0.14,steps_=2,depth_=3,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.15222536667,1.23052887290918,1.26590543390942,0.82704687118530,1.49412798881530,threshold=0.14,steps_=2,depth_=3,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.94941543333,1.98982867234632,1.99970915463775,0.91805291175842,1.55113506317138,threshold=0.14,steps_=2,depth_=4,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.58066206667,1.66888174241861,1.68536460869951,0.98805809020996,1.60910105705261,threshold=0.14,steps_=2,depth_=4,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.13937513333,2.19428117559891,2.20533097572820,0.91599702835083,1.54508709907531,threshold=0.14,steps_=2,depth_=5,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.87649333333,2.03625066631902,2.05446245292237,0.98101401329040,1.65413784980773,threshold=0.14,steps_=2,depth_=5,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,0.9675963,0.89889647684020,0.89658303728577,0.73604297637939,1.41008305549621,threshold=0.14,steps_=3,depth_=1,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,0.757277066667,0.89885713307582,0.89656372036143,0.75704288482666,1.36512112617492,threshold=0.14,steps_=3,depth_=1,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.4896725,1.39073075943399,1.42570980162129,0.81699013710021,1.44112491607666,threshold=0.14,steps_=3,depth_=2,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.01208223333,1.12584597660392,1.15957153885642,0.83704900741577,1.43308186531066,threshold=0.14,steps_=3,depth_=2,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.64637126667,1.84456603081201,1.85706309924264,0.98805713653564,1.64413499832153,threshold=0.14,steps_=3,depth_=3,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.15222536667,1.27133607084744,1.31274265143346,0.99408411979675,1.47905898094177,threshold=0.14,steps_=3,depth_=3,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.94941543333,2.01046517032753,2.02508863403489,1.13606500625610,1.67009806632995,threshold=0.14,steps_=3,depth_=4,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.58066206667,1.85534196540931,1.85854624918611,1.12106394767761,1.61609411239624,threshold=0.14,steps_=3,depth_=4,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.13937513333,2.33465656906202,2.33128947001162,1.15006709098815,1.55409097671508,threshold=0.14,steps_=3,depth_=5,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.87649333333,2.21325267221134,2.21844311036016,1.18306899070739,1.53712797164917,threshold=0.14,steps_=3,depth_=5,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,0.9675963,0.94261663745379,0.94708253594661,0.80304598808288,1.33507800102233,threshold=0.14,steps_=4,depth_=1,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,0.757277066667,0.89885713307582,0.89656372036143,0.79804706573486,1.31207489967346,threshold=0.14,steps_=4,depth_=1,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.4896725,1.51991351144155,1.57028607208268,0.93005394935607,1.46512413024902,threshold=0.14,steps_=4,depth_=2,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.01208223333,1.12584597660392,1.15957153885642,0.92605495452880,1.37211799621582,threshold=0.14,steps_=4,depth_=2,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.64637126667,2.07562305778921,2.08545288573808,1.07206201553344,1.50612711906433,threshold=0.14,steps_=4,depth_=3,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.15222536667,1.27133607084744,1.31274265143346,1.09905385971069,1.43408417701721,threshold=0.14,steps_=4,depth_=3,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.94941543333,2.42305861814331,2.43013338578113,1.22603106498718,1.62613701820373,threshold=0.14,steps_=4,depth_=4,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.58066206667,1.85534196540931,1.85854624918611,1.30507493019104,1.65513706207275,threshold=0.14,steps_=4,depth_=4,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.13937513333,2.44624054452224,2.50808888310071,1.46708393096923,1.71314096450805,threshold=0.14,steps_=4,depth_=5,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.87649333333,2.21325267221134,2.21844311036016,1.47204399108886,1.65111708641052,threshold=0.14,steps_=4,depth_=5,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,0.9675963,1.09844722249764,1.13033862858940,0.93105411529541,1.48108506202697,threshold=0.14,steps_=5,depth_=1,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,0.757277066667,0.89885713307582,0.89656372036143,0.88001108169555,1.50608682632446,threshold=0.14,steps_=5,depth_=1,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.4896725,1.97029793287438,1.98737745423845,1.07206010818481,1.51809000968933,threshold=0.14,steps_=5,depth_=2,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.01208223333,1.13590958264606,1.16938259991236,1.15106511116027,1.50908708572387,threshold=0.14,steps_=5,depth_=2,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.64637126667,2.08004548922948,2.09055304867547,1.29602098464965,1.65513610839843,threshold=0.14,steps_=5,depth_=3,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.15222536667,1.28959357783602,1.32744853583900,1.28407406806945,1.50612902641296,threshold=0.14,steps_=5,depth_=3,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.94941543333,2.43018398010736,2.43804296266545,1.50608587265014,1.67813706398010,threshold=0.14,steps_=5,depth_=4,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.58066206667,1.85534196540931,1.85854624918611,1.49008584022521,1.59711313247680,threshold=0.14,steps_=5,depth_=4,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.13937513333,2.56033554102326,2.66754002417608,1.77110099792480,1.75615096092224,threshold=0.14,steps_=5,depth_=5,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.87649333333,2.21325267221134,2.21844311036016,1.74008202552795,1.69413900375366,threshold=0.14,steps_=5,depth_=5,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,0.9675963,1.21125495566525,1.25382363639898,1.04005980491638,1.53008818626403,threshold=0.14,steps_=6,depth_=1,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,0.757277066667,0.89863250510733,0.89665427474940,1.01105690002441,1.45518398284912,threshold=0.14,steps_=6,depth_=1,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.4896725,1.98992396797567,1.99898678226200,1.27107405662536,1.60809206962585,threshold=0.14,steps_=6,depth_=2,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.01208223333,1.13634836354049,1.16956783471832,1.25603103637695,1.46613097190856,threshold=0.14,steps_=6,depth_=2,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.64637126667,2.08004548922948,2.09055304867547,1.46006393432617,1.66010403633117,threshold=0.14,steps_=6,depth_=3,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.15222536667,1.29014244814035,1.32764739766008,1.45203995704650,1.59509205818176,threshold=0.14,steps_=6,depth_=3,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.94941543333,2.43018398010736,2.43804296266545,1.72703909873962,1.69614100456237,threshold=0.14,steps_=6,depth_=4,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.58066206667,1.87714310865851,1.87605720312544,1.76510095596313,1.65113711357116,threshold=0.14,steps_=6,depth_=4,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,2.13937513333,2.64605534536710,2.72576418288134,2.01207590103149,1.76110005378723,threshold=0.14,steps_=6,depth_=5,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.87649333333,2.23365708155046,2.23642590223720,1.98511409759521,1.62713408470153,threshold=0.14,steps_=6,depth_=5,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,0.9675963,1.24825447470681,1.27897572256874,1.05806088447570,1.48112893104553,threshold=0.14,steps_=7,depth_=1,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,0.757277066667,0.89863250510733,0.89665427474940,1.15006709098815,1.47808504104614,threshold=0.14,steps_=7,depth_=1,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.4896725,1.98992396797567,1.99898678226200,1.44001817703247,1.69509577751159,threshold=0.14,steps_=7,depth_=2,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.01208223333,1.13634836354049,1.16956783471832,1.29107284545898,1.43511915206909,threshold=0.14,steps_=7,depth_=2,eta_=0.01,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
xgboost,header_all,1.64637126667,2.08004548922948,2.09055304867547,1.57404994964599,1.62309408187866,threshold=0.14,steps_=7,depth_=3,eta_=0.1,subsample_=0.9,eval_1=auc,eval_2=ams@0.14,None,None,None,None,None,None
